cas_number,category,label_ja,label_en,law_name_ja,law_name_en,law_reference,law_id
1144512-36-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
114482-33-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
115-29-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001 政令番号: 29,349CO0000000202
115-29-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical Substance,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,化審法施行令 第一条,349CO0000000202
115-32-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001 政令番号: 14,349CO0000000202
115-32-2,class_i_specified,第一種特定化学物質,Class I Specified Chemical Substance,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,化審法施行令 第一条,349CO0000000202
115416-67-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
115592-83-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1158182-60-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1159014-62-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1163-19-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001 政令番号: 33,349CO0000000202
1163-19-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical Substance,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,化審法施行令 第一条,349CO0000000202
116984-14-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
116995-32-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
116995-33-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
117948-63-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
118-74-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001 政令番号: 3,349CO0000000202
118-74-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical Substance,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,化審法施行令 第一条,349CO0000000202
1187817-57-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1189587-64-1,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
1192593-79-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
119264-50-5,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
119264-51-6,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
119264-52-7,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
119264-53-8,class_i_specified,第一種特定化学物質,Class I Specified Chemical,化学物質の審査及び製造等の規制に関する法律,Chemical Substances Control Law,NITE-CHRIP RJ_01_001,349CO0000000202
