cas_number,alias_name,normalized_alias,source_type,source_ref
101-14-4,"3,3'-ジクロロ-4,4'-ジアミノジフェニルメタン","3,3'ジクロロ4,4'ジアミノジフェニルメタン",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"3,3'-ジクロロ-4,4'-ジアミノジフェニルメタン","3,3'ジクロロ4,4'ジアミノジフェニルメタン",ryukyu_name,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"4,4'-Methylenebis(2-chloroaniline)","4,4'methylenebis",regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
101-14-4,"4,4'-Methylenebis(2-chloroaniline)","4,4'methylenebis",ryukyu_english_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"4,4'-ジアミノ-3,3'-ジクロロジフェニルメタン","4,4'ジアミノ3,3'ジクロロジフェニルメタン",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"4,4'-ビス(2-クロロアニリノ)メタン","4,4'ビスメタン",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,"4,4'-メチレンビス(2-クロロアニリン)","4,4'メチレンビス",ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,MBOCA,mboca,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-14-4,MOCA,moca,ryukyu_material_alias,https://w3.u-ryukyu.ac.jp/yakuhin/json/yukitokka.txt
101-21-3,ＩＰＣ,ipc,law_entry_raw_name,412CO0000000138:別表第一
101-21-3,Isopropyl (3-chlorophenyl)carbamate; Chlorpropham,isopropylcarbamate;chlorpropham,regulatory_export_name_en,ra-law-db/exports/regulatory_substances.csv
101-21-3,Ｎ-(3-クロロフェニル)カルバミン酸イソプロピル (別名：クロルプロファム),nカルバミン酸イソプロピル,regulatory_export_name_ja,ra-law-db/exports/regulatory_substances.csv
