cas_number,category,label_ja,label_en,law_reference,law_id
25550-58-7,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
26628-22-8,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
297-78-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
298-00-0,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
302-01-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
3078-97-5,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
3282-30-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
333-29-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
3347-22-6,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
36614-38-7,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
39603-48-0,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
54-11-5,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
541-42-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
54381-26-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
544-16-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
56-38-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
622-24-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
640-19-7,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
65907-30-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
676-97-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
71-43-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
72-20-8,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
74-93-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
75-44-5,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
75-59-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
77-47-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
7789-21-1,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
79538-32-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
8022-00-2,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
8063-06-7,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
869-29-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
95465-99-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
96-34-4,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
98-08-8,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
98-09-9,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
nocas-0014,poison,毒物,Poison,毒物及び劇物指定令 第一条（毒物）,340CO0000000002
107-49-3,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
13171-21-6,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
152-16-9,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
298-00-0,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
56-38-2,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
640-19-7,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
8022-00-2,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
nocas-0014,specific_poison,特定毒物,Specific Poison,毒物及び劇物指定令 第三条（特定毒物）,340CO0000000002
