law_code,source_id,group_legal_name,category_code,special_management,special_organic,match_kind,match_pattern,status,reviewed_by,source_url,note
ish,RJ_04_031,テトラクロロエチレン（別名パークロルエチレン）,tokka_class_2,1,1,name_regex,^ペルクロロエテン$|^テトラクロロエチレン$|^テトラクロロエテン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号22の4。特別有機溶剤
ish,RJ_04_031,１，１，２，２－テトラクロロエタン（別名四塩化アセチレン）,tokka_class_2,1,1,name_regex,"^1,1,2,2-テトラクロロエタン$",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号22の3。特別有機溶剤
ish,RJ_04_031,１，２－ジクロロエタン（別名二塩化エチレン）,tokka_class_2,1,1,name_regex,"^1,2-ジクロロエタン$",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号18の4。特別有機溶剤
ish,RJ_04_031,ジクロロメタン（別名二塩化メチレン）,tokka_class_2,1,1,name_regex,^ジクロロメタン$|^塩化メチレン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号19の3。特別有機溶剤
ish,RJ_04_031,臭化メチル,tokka_class_2,0,0,name_regex,^ブロモメタン$|^臭化メチル$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号20
ish,RJ_04_031,沃化メチル,tokka_class_2,0,0,name_regex,^ヨードメタン$|^ヨウ化メチル$|^ヨウ化メタン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号34
ish,RJ_04_031,硫酸ジメチル,tokka_class_2,0,0,name_regex,^ジメチル=スルファート$|^硫酸ジメチル$|^ジメチル硫酸$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号36
ish,RJ_04_031,ペンタクロルフェノール（別名ＰＣＰ）及びそのナトリウム塩,tokka_class_2,0,0,name_regex,ペンタクロロフェノール|ペンタクロロフェノラート|ペンタクロルフェノール,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号31
ish,RJ_04_031,トリレンジイソシアネート,tokka_class_2,0,0,name_regex,ジイソシアナト.*メチルベンゼン|ジイソシアナトトルエン|トリレンジイソシアネート|トルエンジイソシアネート|トリレンジイソシアナート,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号23
ish,RJ_04_031,オルト－フタロジニトリル,tokka_class_2,0,0,name_regex,"^o-フタロニトリル$|フタロジニトリル|^1,2-ベンゼンジカルボニトリル$|^ベンゼン-1,2-ジカルボニトリル$",reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号9
ish,RJ_04_031,オルト－トルイジン,tokka_class_2,1,0,name_regex,^o-トルイジン$|^2-メチルアニリン$|^2-アミノトルエン$,reviewed,Ameyanagi,https://laws.e-gov.go.jp/law/347CO0000000318,別表第3第2号8の2
